# in_transit_iso_has
# sacct -o JobName%30,NCPUS,Elapsed,ElapsedRaw,AveDiskRead,MaxDiskRead,AveDiskWrite,MaxDiskWrite,AveRSS,MaxRSS -j 23137577
opt, JobName, NCPUS, Elapsed, ElapsedRaw, AveDiskRead, MaxDiskRead, AveDiskWrite, MaxDiskWrite, AveRSS, MaxRSS
1, oscillator, 8192, 00:07:27, 447, 1.73M, 4.05M, 789.40M, 1942.24M, 130721210, 140780K
1, ADIOS1EndPoint, 8192, 00:06:21, 381, 809.77M, 1945.45M, 9.05M, 59.85M, 68617383, 100755K
1, oscillator, 8192, 00:07:18, 438, 1.55M, 3.76M, 587.89M, 1942.24M, 268692995, 501573K
1, ADIOS1EndPoint, 4096, 00:06:08, 368, 1192.52M, 1945.17M, 18.09M, 59.85M, 80213019, 143284K
1, oscillator, 8192, 00:07:03, 423, 1.57M, 3.74M, 488.50M, 1942.24M, 323422342, 501019K
1, ADIOS1EndPoint, 2048, 00:05:54, 354, 1947.02M, 2449.29M, 35.93M, 70.16M, 69274789, 124879K
1, oscillator, 8192, 00:07:09, 429, 1.53M, 3.59M, 434.92M, 1942.24M, 358216725, 500221K
1, ADIOS1EndPoint, 1024, 00:05:45, 345, 3477.14M, 3962.45M, 71.78M, 122.41M, 182101211, 248014K
1, oscillator, 8192, 00:07:20, 440, 1.53M, 3.67M, 408.13M, 1942.24M, 372271186, 499760K
1, ADIOS1EndPoint, 512, 00:05:52, 352, 6502.05M, 6988.97M, 143.54M, 218.61M, 283673348, 318555K
1, oscillator, 8192, 00:07:35, 455, 1.57M, 3.70M, 394.75M, 1942.23M, 382285069, 499657K
1, ADIOS1EndPoint, 256, 00:06:04, 364, 12584.24M, 13043.29M, 287.24M, 360.73M, 480247748, 523380K
1, oscillator, 8192, 00:08:07, 487, 1.70M, 4.00M, 388.05M, 1942.23M, 389196K, 499444K
1, ADIOS1EndPoint, 128, 00:06:46, 406, 24832.34M, 25488.56M, 573.62M, 680.92M, 897626600, 930409K
0, oscillator, 8192, 00:07:24, 444, 1.55M, 3.28M, 2058.07M, 2110.41M, 132448980, 140837K
0, ADIOS1EndPoint, 8192, 00:06:11, 371, 2111.80M, 2113.34M, 9.11M, 89.62M, 119849207, 174991K
0, oscillator, 8192, 00:07:18, 438, 1.60M, 3.30M, 1848.70M, 2110.41M, 141168393, 159314K
0, ADIOS1EndPoint, 4096, 00:06:12, 372, 3793.49M, 3794.97M, 18.06M, 130.89M, 181606957, 214989K
0, oscillator, 8192, 00:07:12, 432, 1.54M, 3.53M, 1788.96M, 2110.59M, 119445455, 131292K
0, ADIOS1EndPoint, 2048, 00:06:03, 363, 7157.01M, 7158.56M, 36.21M, 212.60M, 278418452, 298976K
0, oscillator, 8192, 00:07:18, 438, 1.59M, 3.31M, 1735.39M, 2110.59M, 137248840, 155612K
0, ADIOS1EndPoint, 1024, 00:06:07, 367, 13883.96M, 13885.17M, 72.33M, 409.55M, 459154779, 483458K
0, oscillator, 8192, 00:09:18, 558, 1.83M, 3.77M, 1708.61M, 2110.66M, 208514974, 213943K
0, ADIOS1EndPoint, 512, 00:08:14, 494, 27338.26M, 27339.67M, 143.74M, 564.08M, 815752326, 847369K
0, oscillator, 8192, 00:15:09, 909, 2.68M, 4.78M, 1695.24M, 2110.59M, 373344970, 374847K
0, ADIOS1EndPoint, 256, 00:14:05, 845, 54247.10M, 54248.15M, 289.14M, 756.22M, 1528886840, 1558119K
0, oscillator, 8192, 00:26:29, 1589, 4.19M, 6.26M, 1688.57M, 2110.59M, 419186491, 420924K
0, ADIOS1EndPoint, 128, 00:24:55, 1495, 108065.04M, 108066.08M, 574.88M, 1242.81M, 2958830632, 2979773K
