# in_transit_iso_knl      66096   02:03:27       7407
# sacct -o JobName%30,NCPUS,Elapsed,ElapsedRaw,AveDiskRead,MaxDiskRead,AveDiskWrite,MaxDiskWrite,AveRSS,MaxRSS -j 23141923
opt, JobName, NCPUS, Elapsed, ElapsedRaw, AveDiskRead, MaxDiskRead, AveDiskWrite, MaxDiskWrite, AveRSS, MaxRSS
1, oscillator, 8192, 00:06:19, 379, 1.60M, 3.89M, 124.44M, 288.83M, 51309061, 57951K
1, ADIOS1EndPoint, 8192, 00:05:25, 325, 125.94M, 292.04M, 2.39M, 15.60M, 37048004, 59366K
1, oscillator, 8192, 00:06:09, 369, 1.33M, 3.50M, 90.17M, 288.83M, 63630178, 97291K
1, ADIOS1EndPoint, 4096, 00:05:06, 306, 181.32M, 291.33M, 4.72M, 15.60M, 36741375, 54462K
1, oscillator, 8192, 00:06:09, 369, 1.33M, 3.77M, 72.89M, 288.83M, 67381020, 95980K
1, ADIOS1EndPoint, 2048, 00:05:05, 305, 292.13M, 388.70M, 9.36M, 19.59M, 38082553, 56876K
1, oscillator, 8192, 00:06:14, 374, 1.40M, 3.63M, 64.24M, 288.83M, 69943549, 95233K
1, ADIOS1EndPoint, 1024, 00:04:59, 299, 513.58M, 607.82M, 18.61M, 30.22M, 40333229, 61131K
1, oscillator, 8192, 00:06:02, 362, 1.30M, 3.54M, 59.41M, 288.83M, 67457460, 88709K
1, ADIOS1EndPoint, 512, 00:05:04, 304, 958.67M, 1047.00M, 37.23M, 55.13M, 42451202, 74699K
1, oscillator, 8192, 00:06:19, 379, 1.35M, 3.80M, 57.76M, 288.82M, 72247638, 94545K
1, ADIOS1EndPoint, 256, 00:05:15, 315, 1847.57M, 1925.42M, 74.25M, 103.32M, 98282432, 104748K
1, oscillator, 8192, 00:06:40, 400, 1.47M, 3.70M, 56.68M, 288.82M, 72761369, 94634K
1, ADIOS1EndPoint, 128, 00:05:32, 332, 3622.89M, 3731.22M, 148.45M, 171.96M, 139343656, 158060K
0, oscillator, 8192, 00:06:23, 383, 1.34M, 3.38M, 312.22M, 313.47M, 51313830, 57876K
0, ADIOS1EndPoint, 8192, 00:05:32, 332, 314.03M, 316.11M, 2.42M, 22.90M, 36374144, 58211K
0, oscillator, 8192, 00:06:06, 366, 1.32M, 3.41M, 278.65M, 313.47M, 44738654, 51292K
0, ADIOS1EndPoint, 4096, 00:05:08, 308, 558.24M, 559.66M, 4.77M, 33.58M, 53909803, 61710K
0, oscillator, 8192, 00:06:22, 382, 1.37M, 3.73M, 261.37M, 313.47M, 40958982, 48019K
0, ADIOS1EndPoint, 2048, 00:05:20, 320, 1046.30M, 1047.58M, 9.44M, 54.63M, 65657663, 72015K
0, oscillator, 8192, 00:06:06, 366, 1.47M, 3.29M, 252.72M, 313.47M, 39355797, 46411K
0, ADIOS1EndPoint, 1024, 00:05:16, 316, 2022.37M, 2023.58M, 18.80M, 94.06M, 88484837, 94675K
0, oscillator, 8192, 00:06:26, 386, 1.35M, 3.70M, 248.40M, 313.47M, 38470426, 45384K
0, ADIOS1EndPoint, 512, 00:05:25, 325, 3974.56M, 3975.63M, 37.59M, 145.12M, 135638774, 149863K
0, oscillator, 8192, 00:10:03, 603, 1.91M, 4.33M, 246.25M, 313.49M, 57526043, 64601K
0, ADIOS1EndPoint, 256, 00:09:02, 542, 7879.39M, 7880.47M, 75.10M, 194.99M, 250277396, 262818K
0, oscillator, 8192, 00:18:42, 1122, 3.13M, 5.44M, 245.20M, 313.52M, 76422246, 82089K
0, ADIOS1EndPoint, 128, 00:17:43, 1063, 15689.26M, 15690.36M, 150.53M, 320.94M, 448604864, 460686K
