# in_transit_slice_has
#sacct -o JobName%30,NCPUS,Elapsed,ElapsedRaw,AveDiskRead,MaxDiskRead,AveDiskWrite,MaxDiskWrite,AveRSS,MaxRSS -j 23137580
opt, JobName, NCPUS, Elapsed, ElapsedRaw, AveDiskRead, MaxDiskRead, AveDiskWrite, MaxDiskWrite, AveRSS, MaxRSS
1, oscillator, 8192, 00:06:52, 412, 1.63M, 3.79M, 584.54M, 2110.40M, 130132185, 140880K
1, ADIOS1EndPoint, 8192, 00:05:52, 352, 598.27M, 2113.08M, 3.54M, 80.72M, 71764265, 134503K
1, oscillator, 8192, 00:06:45, 405, 1.50M, 3.77M, 373.36M, 2110.40M, 276521767, 458734K
1, ADIOS1EndPoint, 4096, 00:05:40, 340, 770.49M, 2113.06M, 7.00M, 80.72M, 74138846, 126296K
1, oscillator, 8192, 00:06:53, 413, 1.50M, 3.77M, 267.85M, 2110.40M, 355741174, 457563K
1, ADIOS1EndPoint, 2048, 00:05:38, 338, 1111.44M, 2113.14M, 13.93M, 80.72M, 85083001, 129366K
1, oscillator, 8192, 00:06:49, 409, 1.54M, 3.57M, 214.96M, 2110.40M, 426104549, 499379K
1, ADIOS1EndPoint, 1024, 00:05:39, 339, 1791.42M, 2112.10M, 27.80M, 80.72M, 87955974, 125679K
1, oscillator, 8192, 00:06:36, 396, 1.47M, 3.75M, 197.24M, 2110.40M, 444849045, 500082K
1, ADIOS1EndPoint, 512, 00:05:23, 323, 3141.52M, 3793.61M, 55.34M, 110.88M, 92385330, 168818K
1, oscillator, 8192, 00:07:52, 472, 1.34M, 4.58M, 175.28M, 2110.41M, 419466498, 456233K
1, ADIOS1EndPoint, 256, 00:07:01, 421, 5850.22M, 7156.96M, 110.62M, 173.61M, 173394208, 254842K
1, oscillator, 8192, 00:06:33, 393, 1.52M, 3.47M, 177.15M, 2110.40M, 462063755, 499432K
1, ADIOS1EndPoint, 128, 00:05:19, 319, 11289.58M, 12202.15M, 221.47M, 314.39M, 379515648, 402237K
0, oscillator, 8192, 00:07:18, 438, 1.56M, 3.53M, 2058.15M, 2110.42M, 131467372, 140877K
0, ADIOS1EndPoint, 8192, 00:06:03, 363, 2104.25M, 2113.18M, 3.56M, 80.72M, 68636213, 91916K
0, oscillator, 8192, 00:07:00, 420, 1.55M, 3.31M, 1850.06M, 2110.41M, 122277392, 134028K
0, ADIOS1EndPoint, 4096, 00:05:56, 356, 3779.84M, 3795.08M, 7.02M, 110.86M, 164291737, 172477K
0, oscillator, 8192, 00:06:54, 414, 1.48M, 3.60M, 1743.63M, 2110.41M, 119562058, 157912K
0, ADIOS1EndPoint, 2048, 00:05:42, 342, 7147.62M, 7158.59M, 14.03M, 111.38M, 249012119, 258092K
0, oscillator, 8192, 00:07:03, 423, 1.58M, 3.34M, 1735.40M, 2110.65M, 140287169, 155610K
0, ADIOS1EndPoint, 1024, 00:05:51, 351, 13845.33M, 13885.06M, 28.00M, 111.51M, 424261700, 427369K
0, oscillator, 8192, 00:07:11, 431, 1.55M, 3.33M, 1708.60M, 2110.65M, 135399777, 153897K
0, ADIOS1EndPoint, 512, 00:05:58, 358, 27290.92M, 27339.12M, 55.86M, 118.21M, 772755726, 764486K
0, oscillator, 8192, 00:09:25, 565, 1.88M, 3.66M, 1694.70M, 2110.59M, 245723510, 281997K
0, ADIOS1EndPoint, 256, 00:08:15, 495, 54246.30M, 54247.41M, 111.66M, 118.72M, 1471877076, 1445858K
0, oscillator, 8192, 00:13:40, 820, 2.43M, 4.57M, 1688.55M, 2110.68M, 360197455, 374662K
0, ADIOS1EndPoint, 128, 00:12:24, 744, 108053.86M, 108064.43M, 223.17M, 230.85M, 2871795928, 2809999K
