# in_transit_slice_knl      66096   01:51:21       6681
# $sacct -o JobName%30,NCPUS,Elapsed,ElapsedRaw,AveDiskRead,MaxDiskRead,AveDiskWrite,MaxDiskWrite,AveRSS,MaxRSS -j 23141916
opt, JobName, NCPUS, Elapsed, ElapsedRaw, AveDiskRead, MaxDiskRead, AveDiskWrite, MaxDiskWrite, AveRSS, MaxRSS
1, oscillator, 8192, 00:06:31, 391, 1.58M, 3.91M, 93.68M, 313.23M, 51296265, 58260K
1, ADIOS1EndPoint, 8192, 00:05:23, 323, 95.15M, 316.74M, 0.97M, 20.72M, 36593615, 54060K
1, oscillator, 8192, 00:06:13, 373, 1.37M, 3.84M, 59.13M, 313.22M, 66773187, 93416K
1, ADIOS1EndPoint, 4096, 00:05:00, 300, 119.47M, 315.79M, 1.87M, 20.72M, 36098612, 48567K
1, oscillator, 8192, 00:06:10, 370, 1.28M, 3.60M, 42.07M, 313.22M, 75499626, 96210K
1, ADIOS1EndPoint, 2048, 00:04:55, 295, 168.79M, 315.53M, 3.66M, 20.72M, 37763978, 47042K
1, oscillator, 8192, 00:06:21, 381, 1.33M, 3.55M, 33.02M, 313.22M, 74321525, 88992K
1, ADIOS1EndPoint, 1024, 00:04:55, 295, 267.53M, 314.69M, 7.25M, 20.72M, 41827086, 47438K
1, oscillator, 8192, 00:06:16, 376, 1.31M, 3.62M, 29.10M, 313.22M, 81496448, 94957K
1, ADIOS1EndPoint, 512, 00:04:51, 291, 464.84M, 558.57M, 14.42M, 28.62M, 44962904, 51465K
1, oscillator, 8192, 00:06:17, 377, 1.30M, 3.68M, 26.94M, 313.22M, 82647832, 94907K
1, ADIOS1EndPoint, 256, 00:04:58, 298, 859.97M, 1046.62M, 28.80M, 44.85M, 51156588, 61455K
1, oscillator, 8192, 00:06:17, 377, 1.32M, 3.63M, 25.77M, 313.22M, 82884539, 94346K
1, ADIOS1EndPoint, 128, 00:04:58, 298, 1649.90M, 1778.68M, 57.52M, 81.23M, 51306376, 79133K
0, oscillator, 8192, 00:06:30, 390, 1.34M, 4.18M, 312.24M, 313.47M, 51312748, 57877K
0, ADIOS1EndPoint, 8192, 00:05:35, 335, 314.11M, 315.87M, 1.00M, 20.72M, 41934152, 52507K
0, oscillator, 8192, 00:06:26, 386, 1.36M, 3.40M, 277.89M, 313.47M, 44703278, 51632K
0, ADIOS1EndPoint, 4096, 00:05:24, 324, 557.39M, 559.76M, 1.92M, 28.61M, 46369211, 54896K
0, oscillator, 8192, 00:06:05, 365, 1.34M, 3.48M, 261.37M, 313.47M, 40990362, 48018K
0, ADIOS1EndPoint, 2048, 00:05:15, 315, 1046.30M, 1047.64M, 3.78M, 28.94M, 59953202, 64441K
0, oscillator, 8192, 00:06:16, 376, 1.37M, 3.37M, 252.72M, 313.47M, 39325491, 54100K
0, ADIOS1EndPoint, 1024, 00:05:10, 310, 2022.36M, 2023.64M, 7.49M, 29.08M, 78377394, 86248K
0, oscillator, 8192, 00:06:23, 383, 1.36M, 3.38M, 247.47M, 313.47M, 38475350, 46646K
0, ADIOS1EndPoint, 512, 00:05:16, 316, 3974.53M, 3975.60M, 14.90M, 35.86M, 128011120, 129956K
0, oscillator, 8192, 00:06:36, 396, 1.41M, 3.71M, 246.24M, 313.47M, 38074769, 45150K
0, ADIOS1EndPoint, 256, 00:05:26, 326, 7875.67M, 7879.95M, 29.72M, 36.36M, 216007544, 216478K
0, oscillator, 8192, 00:10:52, 652, 1.99M, 4.25M, 245.17M, 313.49M, 63214790, 69876K
0, ADIOS1EndPoint, 128, 00:09:51, 591, 15688.14M, 15689.22M, 59.40M, 66.05M, 425450712, 419076K
