# sacct -o JobName%30,NCPUS,Elapsed,ElapsedRaw,AveDiskRead,MaxDiskRead,AveDiskWrite,MaxDiskWrite,AveRSS,MaxRSS -j 23150244
#
opt, JobName, NCPUS, Elapsed, ElapsedRaw, AveDiskRead, MaxDiskRead, AveDiskWrite, MaxDiskWrite, AveRSS, MaxRSS
1, oscillator, 8192, 00:06:05, 365, 0.63M, 2.94M, 124.64M, 288.77M, 51449832, 58598K
1, ADIOS1EndPoint, 8192, 00:05:13, 313, 125.05M, 291.31M, 2.32M, 15.53M, 36845137, 59317K
1, oscillator, 8192, 00:06:00, 360, 0.50M, 2.56M, 89.71M, 288.77M, 61033259, 90812K
1, ADIOS1EndPoint, 4096, 00:05:06, 306, 180.75M, 290.48M, 4.65M, 15.53M, 36688066, 54366K
1, oscillator, 8192, 00:05:55, 355, 0.49M, 2.71M, 72.44M, 288.77M, 64113698, 89374K
1, ADIOS1EndPoint, 2048, 00:04:56, 296, 291.13M, 387.71M, 9.28M, 19.52M, 38052924, 56800K
1, oscillator, 8192, 00:05:56, 356, 0.49M, 2.63M, 63.78M, 288.77M, 66242427, 88765K
1, ADIOS1EndPoint, 1024, 00:04:57, 297, 512.91M, 606.98M, 18.55M, 30.15M, 40383016, 61564K
1, oscillator, 8192, 00:05:59, 359, 0.49M, 2.64M, 59.23M, 288.76M, 67416577, 88706K
1, ADIOS1EndPoint, 512, 00:04:59, 299, 956.44M, 1046.22M, 37.10M, 55.06M, 43580318, 73275K
1, oscillator, 8192, 00:06:03, 363, 0.47M, 2.56M, 56.97M, 288.76M, 68146298, 88251K
1, ADIOS1EndPoint, 256, 00:05:08, 308, 1846.85M, 1924.62M, 74.19M, 103.25M, 98258748, 105186K
1, oscillator, 8192, 00:06:42, 402, 0.66M, 2.63M, 56.62M, 288.76M, 72463524, 94327K
1, ADIOS1EndPoint, 128, 00:05:38, 338, 3624.74M, 3730.76M, 148.46M, 171.89M, 154722784, 161856K
0, oscillator, 8192, 00:06:43, 403, 0.88M, 2.29M, 312.18M, 313.41M, 51367499, 57802K
0, ADIOS1EndPoint, 8192, 00:05:38, 338, 314.03M, 315.12M, 2.35M, 22.83M, 36336015, 60274K
0, oscillator, 8192, 00:06:37, 397, 0.88M, 2.20M, 278.59M, 313.41M, 44509053, 51113K
0, ADIOS1EndPoint, 4096, 00:05:27, 327, 557.08M, 558.90M, 4.69M, 33.51M, 53894299, 62962K
0, oscillator, 8192, 00:06:14, 374, 0.53M, 2.13M, 261.30M, 313.41M, 41320393, 47822K
0, ADIOS1EndPoint, 2048, 00:05:20, 320, 1045.64M, 1046.94M, 9.38M, 54.55M, 65706328, 72108K
0, oscillator, 8192, 00:06:02, 362, 0.43M, 1.99M, 251.48M, 313.41M, 39328435, 46414K
0, ADIOS1EndPoint, 1024, 00:05:11, 311, 2021.64M, 2022.47M, 18.80M, 105.17M, 88574618, 95506K
0, oscillator, 8192, 00:06:40, 400, 0.52M, 2.06M, 248.34M, 313.41M, 38712173, 45714K
0, ADIOS1EndPoint, 512, 00:05:27, 327, 3973.80M, 3974.63M, 37.56M, 145.05M, 134973818, 149585K
0, oscillator, 8192, 00:09:48, 588, 0.50M, 2.42M, 246.18M, 313.41M, 57070323, 64482K
0, ADIOS1EndPoint, 256, 00:08:47, 527, 7878.12M, 7878.84M, 75.03M, 194.91M, 249983460, 260590K
0, oscillator, 8192, 00:18:28, 1108, 0.55M, 2.71M, 245.10M, 313.41M, 76270840, 82087K
0, ADIOS1EndPoint, 128, 00:17:28, 1048, 15686.76M, 15687.83M, 150.05M, 320.82M, 449232688, 465565K
