#sacct -o JobName%30,NCPUS,Elapsed,ElapsedRaw,AveDiskRead,MaxDiskRead,AveDiskWrite,MaxDiskWrite,AveRSS,MaxRSS -j 23150248
#
opt, JobName, NCPUS, Elapsed, ElapsedRaw, AveDiskRead, MaxDiskRead, AveDiskWrite, MaxDiskWrite, AveRSS, MaxRSS
1, oscillator, 8192, 00:06:04, 364, 0.64M, 2.65M, 93.83M, 313.16M, 51477754, 58040K
1, ADIOS1EndPoint, 8192, 00:05:11, 311, 94.33M, 315.18M, 0.90M, 20.65M, 36259235, 53562K
1, oscillator, 8192, 00:06:04, 364, 0.48M, 2.57M, 59.29M, 313.16M, 67317901, 96938K
1, ADIOS1EndPoint, 4096, 00:05:02, 302, 118.91M, 314.66M, 1.80M, 20.65M, 35722825, 48034K
1, oscillator, 8192, 00:05:59, 359, 0.49M, 2.56M, 41.63M, 313.16M, 71025433, 89586K
1, ADIOS1EndPoint, 2048, 00:04:52, 292, 168.07M, 314.33M, 3.59M, 20.65M, 37152563, 45964K
1, oscillator, 8192, 00:06:02, 362, 0.48M, 2.56M, 32.96M, 313.16M, 74267280, 88870K
1, ADIOS1EndPoint, 1024, 00:04:49, 289, 266.66M, 313.88M, 7.16M, 20.65M, 39914079, 46502K
1, oscillator, 8192, 00:05:50, 350, 0.48M, 2.56M, 28.53M, 313.16M, 75969396, 88674K
1, ADIOS1EndPoint, 512, 00:04:50, 290, 464.38M, 557.90M, 14.36M, 28.55M, 41944920, 51431K
1, oscillator, 8192, 00:11:08, 668, 0.47M, 2.57M, 26.86M, 313.16M, 82372220, 94502K
1, ADIOS1EndPoint, 256, 00:09:27, 567, 859.38M, 1045.94M, 28.73M, 44.78M, 37531956, 61320K
1, oscillator, 8192, 00:06:02, 362, 0.51M, 2.64M, 25.25M, 313.16M, 77209854, 88049K
1, ADIOS1EndPoint, 128, 00:04:53, 293, 1649.21M, 1778.00M, 57.46M, 81.16M, 42565896, 75594K
0, oscillator, 8192, 00:07:02, 422, 0.88M, 2.43M, 312.25M, 313.41M, 51370312, 58066K
0, ADIOS1EndPoint, 8192, 00:05:39, 339, 314.03M, 314.88M, 0.93M, 20.65M, 41883148, 53126K
0, oscillator, 8192, 00:06:40, 400, 0.88M, 2.20M, 277.78M, 313.41M, 44496798, 51192K
0, ADIOS1EndPoint, 4096, 00:05:24, 324, 557.17M, 559.14M, 1.85M, 28.54M, 34787812, 52177K
0, oscillator, 8192, 00:06:06, 366, 0.88M, 2.20M, 261.21M, 313.41M, 41346324, 47825K
0, ADIOS1EndPoint, 2048, 00:05:06, 306, 1045.61M, 1046.80M, 3.71M, 28.86M, 35019138, 64387K
0, oscillator, 8192, 00:06:07, 367, 0.45M, 1.99M, 251.33M, 313.41M, 39348844, 48116K
0, ADIOS1EndPoint, 1024, 00:05:10, 310, 2021.64M, 2022.47M, 7.42M, 29.01M, 72476459, 86019K
0, oscillator, 8192, 00:06:20, 380, 0.50M, 2.15M, 246.23M, 313.41M, 38715411, 45460K
0, ADIOS1EndPoint, 512, 00:05:18, 318, 3973.80M, 3974.49M, 14.81M, 35.79M, 127687926, 129153K
0, oscillator, 8192, 00:06:30, 390, 0.48M, 2.06M, 244.06M, 313.41M, 38287023, 44995K
0, ADIOS1EndPoint, 256, 00:05:34, 334, 7872.40M, 7879.12M, 29.63M, 36.29M, 198128636, 217077K
0, oscillator, 8192, 00:10:49, 649, 0.53M, 2.56M, 245.09M, 313.41M, 62854661, 69824K
0, ADIOS1EndPoint, 128, 00:09:53, 593, 15686.76M, 15687.58M, 59.29M, 65.96M, 424708376, 419566K
