# sacct -o JobName%30,NCPUS,Elapsed,ElapsedRaw,AveDiskRead,MaxDiskRead,AveDiskWrite,MaxDiskWrite,AveRSS,MaxRSS -j 23161406
# in_transit_slice_knl, 131648, 05:00:15, 18015
opt, JobName, NCPUS, Elapsed, ElapsedRaw, AveDiskRead, MaxDiskRead, AveDiskWrite, MaxDiskWrite, AveRSS, MaxRSS
1, oscillator, 16384, 00:21:46, 1306, 1.10M, 3.31M, 309.03M, 1133.97M, 119882841, 138290K
1, ADIOS1EndPoint, 16384, 00:19:08, 1148, 310.13M, 1136.69M, 1.75M, 50.65M, 63886020, 109834K
1, oscillator, 16384, 00:21:17, 1277, 0.61M, 2.73M, 188.72M, 1133.97M, 185079711, 274101K
1, ADIOS1EndPoint, 8192, 00:18:47, 1127, 379.33M, 1135.69M, 3.50M, 50.65M, 63608914, 98895K
1, oscillator, 16384, 00:21:02, 1262, 0.60M, 2.74M, 128.59M, 1133.97M, 216420524, 271754K
1, ADIOS1EndPoint, 4096, 00:18:29, 1109, 518.43M, 1135.68M, 6.99M, 50.65M, 66272840, 94872K
1, oscillator, 16384, 00:20:46, 1246, 0.62M, 2.58M, 98.48M, 1133.97M, 231499029, 270606K
1, ADIOS1EndPoint, 2048, 00:18:19, 1099, 796.08M, 1136.18M, 13.96M, 50.65M, 73253598, 92781K
1, oscillator, 16384, 00:20:43, 1243, 0.61M, 2.65M, 83.41M, 1133.97M, 249211871, 278021K
1, ADIOS1EndPoint, 1024, 00:18:17, 1097, 1351.57M, 2029.09M, 27.89M, 81.57M, 76718500, 90145K
1, oscillator, 16384, 00:20:46, 1246, 0.61M, 2.65M, 76.15M, 1133.97M, 263846563, 292129K
1, ADIOS1EndPoint, 512, 00:18:20, 1100, 2468.19M, 2923.26M, 55.97M, 103.09M, 61534574, 65384K
1, oscillator, 16384, 00:20:49, 1249, 0.64M, 2.73M, 72.47M, 1133.97M, 266033918, 291749K
1, ADIOS1EndPoint, 256, 00:18:29, 1109, 4696.63M, 4711.59M, 111.92M, 159.20M, 64197240, 81078K
1, oscillator, 16384, 00:21:20, 1280, 0.60M, 2.43M, 71.49M, 1133.97M, 267168792, 290703K
1, ADIOS1EndPoint, 128, 00:18:45, 1125, 9167.84M, 9182.43M, 223.98M, 271.44M, 304754200, 302877K
0, oscillator, 16384, 00:21:36, 1296, 0.62M, 2.39M, 1132.15M, 1134.46M, 120693630, 137044K
0, ADIOS1EndPoint, 16384, 00:19:08, 1148, 1133.84M, 1136.17M, 1.78M, 50.65M, 84976022, 108221K
0, oscillator, 16384, 00:35:54, 2154, 0.59M, 2.79M, 1012.50M, 1134.46M, 110040163, 123456K
0, ADIOS1EndPoint, 8192, 00:32:31, 1951, 2028.71M, 2029.86M, 3.56M, 56.32M, 105006241, 119497K
